comingout_id;company_id;container_name;client_id
1;2;AS1234RT;2
2;1;CRSU6006764;4
3;1;CHIU8000111;5
4;2;JNIU2004931;6
5;1;TKRU4005788;7
6;1;WJSV5002602;8
7;1;VESU2323145;9
8;1;RHNU6001265;10
9;1;FESU2084806;11
10;4;FESU2071270;12
11;3;FESU5111680;13
12;3;CAXU6774179;14
13;2;CHIU9015760;15
14;3;CRXU1609200;16
15;3;TCLU5887827;17
16;2;FESU4052731;18
17;2;FCIU8312469;19
18;3;CAIU2636349;20
19;2;TCLU5864143;21
20;1;FESU2084806;22
21;1;TKRU4005788;23
22;1;FFFF1111111;24
23;3;FESU5139121;25
24;4;FESU5137788;26
25;4;FESU5170092;27
26;4;CLHU8857959;28
27;4;FESU5129545;29
28;4;FESU2133325;30
29;4;CAIU2642280;31
30;2;1;32
31;2;1;33
32;2;TCKU3659857;34
33;2;FESU4010947;35
34;2;MPBU9992244;36
35;3;WJSU5000364;37
36;1;FESU2057919;38
37;3;SKHU8721239;39
38;1;QPCU0000324;40
39;3;TGHU1997701;41
40;3;RFCU2013070;42
41;2;RZDU0620551;43
42;3;CRSU6006764;44
43;3;CRSU1331350;45
44;3;MPBU9991715;46
45;3;VEZU1505810;47
46;3;CHIU9015760;48
47;3;CHIU8000111;49
48;3;CHIU8000209;50
49;3;CHIU8000301;51
50;2;WJSU5501176;52
51;3;HDMU6738462;53
52;3;VESU5138177;54
53;2;FESU4036324;55
54;3;IRXU3706222;56
55;3;TCLU2961514;57
56;2;TKRU6500287;58
57;3;TGHU3078930;59
58;3;CLHU3180649;60
59;1;GHMU5000260;61
60;1;RHNU4001184;62
61;1;RHNU6000417;63
62;1;DRYU9054124;64
63;1;RZDU0649323;65
64;1;DVTU5835070;66
65;1;GESU1348335;67
66;1;SKHU9308153;68
67;1;FESU2124935;69
68;2;WJSU5022609;70
69;3;TGHU9857521;71
70;3;TCLU5885526;72
71;2;RZDU0312348;73
72;3;FESUY5172259;74
73;2;TCNU9693642;75
74;3;TCLU8020640;76
75;3;CRSU6011014;77
76;2;FCIU2858051;78
77;2;FCIU2858051;79
78;2;SHLU0726778;80
79;1;RHNU4003377;81
80;3;FESU5164248;82
81;1;DNAU8004925;83
82;1;DVTU3663727;84
83;1;RZDU0588953;85
84;1;GESU2743714;86
85;0;444444444;87
86;0;TCKU3255990;88
87;3;TCLU8138503;89
88;0;SIRU 2006409;90
89;2;RZDU0461315;91
90;2;GESU2582287;92
91;0;CCLU2285943;93
92;2;CMAU5329539;94
93;2;MSKU4002054;95
94;2;MSKU3164472;96
95;2;CHIU8001150;97
96;3;TKRU4057077;98
97;1;VEZU6500002;99
98;1;MPBU9992347;100
99;1;CRSU5503631;101
100;1;MPBU9992861;102
101;1;MPBU9992060;103
102;1;BMOU4745307;104
103;3;HDMU6184870;105
104;2;TKRU4020885;106
105;2;DFSU6813510;107
106;1;GESU1258885;108
107;3;MPBU9992244;109
108;3;MPBU9992096;110
109;0;MPBU9991757;111
110;0;MPBU9992542;112
111;0;MPBU9991818;113
112;0;CRSU6006450;114
113;0;CRLU5504474;115
114;0;VEZU5825765;116
115;0;NARU5807972;117
116;0;CHIU8000385;118
117;0;CHIU8001000;119
118;3;FESU5134520;120
119;1;SEBU1024651;121
120;1;MPBU9992033;122
121;1;NARU5797196;123
122;1;CRSU6011204;124
123;1;ALLU8334697;125
124;1;MPBU9992727;126
125;2;WJSU5005263;127
126;2;GLRU7778885;128
127;0;TGHU2716692;129
128;0;FESU2090100;130
129;3;FESU2135185;131
130;3;FESU4036983;132
131;0;FESU5116126;133
132;0;CAIU8967637;134
133;3;TCKU3255990;135
134;0;FESU5134520;136
135;2;SKHU9000453;137
136;1;DRYU9052991;138
137;1;FCIU8903374;139
138;1;DRYU2067217;140
139;2;RZDU5002047;141
140;2;RZDU0417380;142
141;3;ECMU1460749;143
142;2;RZDU0263520;144
143;2;TKRU4007862;145
144;2;ECMU9385657;146
145;1;DRYU2067217;147
146;2;GLRU7778313;148
147;2;TKRU4042863;149
148;2;GLRU7778226;150
149;3;SKLU0332542;151
150;1;RHNU6000994;152
151;1;MIGU6085480;153
152;1;RHNU6001780;154
153;1;WFHU5058895;155
154;3;FESU2090100;156
155;3;FESU5116126;157
